,Series_Title,Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Gross,Drama,Crime,Action,Biography,Western,Comedy,Adventure,Animation,Horror,Mystery,Film-Noir,Fantasy,Family,Thriller,Romance,Sci-Fi,War,Music,Musical,Sport,History
143,El secreto de sus ojos,2009,R,129 min,8.2,80.0,Juan José Campanella,"6,391,436",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
144,Warrior,2011,UA,140 min,8.2,71.0,Gavin O'Connor,"13,657,115",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
145,Shutter Island,2010,A,138 min,8.2,63.0,Martin Scorsese,"128,012,934",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
146,Up,2009,U,96 min,8.2,88.0,Pete Docter,"293,004,164",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,The Wolf of Wall Street,2013,A,180 min,8.2,75.0,Martin Scorsese,"116,900,694",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Chak De! India,2007,U,153 min,8.2,68.0,Shimit Amin,"1,113,541",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
149,There Will Be Blood,2007,A,158 min,8.2,93.0,Paul Thomas Anderson,"40,222,514",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Pan's Labyrinth,2006,UA,118 min,8.2,98.0,Guillermo del Toro,"37,634,615",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
151,Toy Story 3,2010,U,103 min,8.2,92.0,Lee Unkrich,"415,004,880",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,V for Vendetta,2005,A,132 min,8.2,62.0,James McTeigue,"70,511,035",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
153,Rang De Basanti,2006,UA,167 min,8.2,,Rakeysh Omprakash Mehra,"2,197,331",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Black,2005,U,122 min,8.2,,Sanjay Leela Bhansali,"733,094",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
